,"Note: You can directly modify the content of ""MSA"", but not ""English"" and ""Darija"". 
If the original ""Darija"" is indeed wrong, please provide the correction in the ""Darija_arabic correction"" column. 
For other remarks, please leave a comment in the ""Observations"" column.",,,,,,,,,,,,,,
6282,"No thanks, no milk in my coffee and no ice in the orange juice.","la chokran, la 7lib fl9ahwa la talj fl3aSir","لا شوكران, لا حليب فلقاهوا لا تالج فلعاصير",لا شكراً، لا أريد حليباً في قهوتي ولا ثلجاً في عصير البرتقال.,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6283,Here you are,hanta,هانتا,تفضل,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6284,Would you like to order any food?,wach bghiti Tlab chi makla?,واش بغيتي طلاب شي ماكلا?,هل تود طلب أي طعام؟,TRUE,EL BOUCHATTAOUI LAMIAA,,واش بغيتي طلب شي ماكلا?,FALSE,Yassine,,,,,
6285,Our special dish today is chicken,Taba9 dyalna lmomayaz lioma howa djaj,طاباق ديالنا لموماياز ليوما هووا دجاج,طبقنا الخاص اليوم هو الدجاج,TRUE,EL BOUCHATTAOUI LAMIAA,,طبق ديالنا لموماياز ليوما هوا دجاج,FALSE,Yassine,,,,,
6286,"No, thank you",la chokran,لا شوكران,لا، شكرًا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6287,Just coffee,ghir l9ahwa,غير لقاهوا,فقط قهوة,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6288,Chicken pie?,faTira dyal djaj,فاطيرا ديال دجاج,فطيرة الدجاج؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6289,It's very original,rah aSli bzaf,راه أصلي بزاف,إنه أصلي جدًا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6290,You can always change your mind!,dima ta9dar tbadal ra2yak,ديما تاقدار تبادال راإياك,يمكنك دائمًا تغيير رأيك!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6291,Is that your dog that's just wandered in over there?,wach hada kalbak likaydor tma?,واش هادا كالباك ليكايدور تما?,هل ذلك كلبك الذي تجول للتو هناك؟,TRUE,EL BOUCHATTAOUI LAMIAA,,واش هادا كالب ديالك ليكايدور تما?,FALSE,Yassine,,,,,
6292,It seems to be looking for someone,ban liya kay9alab 3la chi 7ad,بان لييا كايقالاب علا شي حاد,يبدو أنه يبحث عن شخص ما,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6293,Cream chicken?,djaj blkrima?,دجاج بلكريما?,دجاج بالكريمة؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6294,Amazing!,modhich,مودهيش,مدهش!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6295,"If it is yours, I'm afraid we don't allow dogs in our bar for hygiene reasons","ila kan dyalk, rah makansma7och blklab 7na f l7ana l2asbab dyal naDafa","إلا كان ديالك, راه ماكانسماحوش بلكلاب حنا ف لحانا لأسباب ديال ناضافا",إذا كان لك، أخشى أننا لا نسمح بوجود الكلاب في البار لأسباب صحية,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6296,"Sorry, but the dog in question is not mine!","sma7 liya, walakin dak lkalb machi dyali","سماح لييا, والاكين داك لكالب ماشي ديالي",آسف، ولكن الكلب المعني ليس لي!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6297,"Hhmmmn, hold on while I put it outside","hmmm, tsana 7ta nkharjo brra","همّم, تسانا حتا نخارجو برّا",امممن، انتظر لحظة بينما أضعه خارجًا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6298,"Poor thing, it's raining too and looks hungry","maskin, rah kati7 chta o ban liya ji3an","ماسكين, راه كاتيح شتا أُ بان لييا جيعان",يا للشيء البائس، إنها تمطر أيضًا ويبدو جائعًا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6299,I don't mind having a dog with us,machi mochkil ykon m3ana kalb,ماشي موشكيل يكون معانا كالب,لا أمانع من وجود كلب معنا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6300,He's probably better off with us than outside,imkan 7san ykon m3ana 3la bra,إمكان حسان يكون معانا علا برا,من المحتمل أن يكون في وضع أفضل معنا منه في الخارج,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6301,Are you enjoying your coffee?,wach katmata3 b9ahwtak?,واش كاتماتاع بقاهوتاك?,هل تستمتع بقهوتك؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6302,You think your dog will like chicken pie?,wach kadan kalbak ghadi yabghi faTira dyal djaj?,واش كادان كالباك غادي يابغي فاطيرا ديال دجاج?,تعتقد أن كلبك سيحب فطيرة الدجاج؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6303,I'm not sure,mamt2akadch,مامتأكادش,لستُ متأكدًا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6304,Your coffee's not bad,98iwtk makhaybach,قهيوتك ماخايباش,قهوتك ليست سيئة,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6305,I also asked for an orange juice,kifma tlabt 3aSir limon,كيفما تلابت عاصير ليمون,لقد طلبت عصير برتقال أيضًا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6306,"Oh yes, sorry I forgot.","oh ah, sma7 liya nsit","أُه أه, سماح لييا نسيت",آه نعم، آسف لقد نسيت.,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6307,"Here's your bill, it comes to 15 dhs","hahiya fatora dyalk, waslat 15 dhs","هاهييا فاتورا ديالك, واسلات 15 دهس",ها هو فاتورتك، المجموع 15 درهم,TRUE,EL BOUCHATTAOUI LAMIAA,,"هاهييا فاتورا ديالك, وصلات 15 درهم",FALSE,Yassine,,,,,
6308,"Hey, it's my birthday","ahya, rah 3id miladi","أهيا, راه عيد ميلادي",مرحباً، إنه عيد ميلادي,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6309,Don't you want to help me set something up?,mabghitich t3awni n9ad chi 7aja?,مابغيتيش تعاوني نقاد شي حاجا?,ألا تريد مساعدتي في إعداد شيء ما؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6310,"I said I would, didn't I?","galt bila ghadi ndir, kayna?","ڭالت بيلا غادي ندير, كاينا?",قلت إنني سأفعل، أليس كذلك؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6311,So here I am,ewa hani,إوا هاني,فها أنا هنا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6312,What do you want me to do?,ach bghitini ndir?,أش بغيتيني ندير?,ماذا تريد مني أن أفعل؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6313,I was thinking about doing this next Saturday,kant kanfakar ndirha nhar sabt jay,كانت كانفاكار نديرها نهار سابت جاي,كنت أفكر في القيام بهذا يوم السبت القادم,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6314,Maybe a restaurant?,imkn maT3am?,إمكن ماطعام?,ربما مطعم؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6315,Oh,oh,أُه,آه,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6316,I thought it was today,kan ys7ab liya lyoum,كان يسحاب لييا ليوم,ظننت أنه اليوم,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6317,I'm busy Saturday,an machghol sabt,أن ماشغول سابت,أنا مشغول يوم السبت,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6318,That's a problem,hadi mochkila,هادي موشكيلا,ذلك مشكلة,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6319,That's a problem,hada mochkil,هادا موشكيل,ذلك مشكلة,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6320,"Oh, man.",awdiii,أوديّي,يا رجل.,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6321,"My birthday is today, but I thought there'd be more people on the weekends","3id miladi lyoum, walakin kanDn ghdi ykon bzaf dyal bnadam f 3oTla dyal nihaya osbo3","عيد ميلادي ليوم, والاكين كانضن غدي يكون بزاف ديال بنادام ف عوطلا ديال نيهايا أُسبوع",عيد ميلادي هو اليوم، لكني ظننت أن هناك المزيد من الناس في عطلة نهاية الأسبوع,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6322,Can we reschedule for Sunday?,wach n9adro n3awdo n7addo maw3id nhar l7ad?,واش نقادرو نعاودو نحادّو ماوعيد نهار لحاد?,هل يمكننا إعادة الجدولة ليوم الأحد؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6323,Well as we've not scheduled the party yet we don't have to reschedule it,ewa mlli mazal mazggina l7afla maghadich ikhssna n3awdo nzggiw,إوا ملّي مازال مازڭّينا لحافلا ماغاديش إخسّنا نعاودو نزڭّيو,حسنًا، بما أننا لم نحدد موعد الحفلة بعد، فلا داعي لإعادة جدولتها,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6324,We can just invite people on the Sunday,n9adro ghir n3ardo 3la nas nhar l7ad,نقادرو غير نعاردو علا ناس نهار لحاد,يمكننا فقط دعوة الناس يوم الأحد,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6325,Do you have a favourite restaurant?,wach 3andak chi maT3am mofaDal?,واش عانداك شي ماطعام موفاضال?,هل لديك مطعم مفضل؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6326,Oh and are you paying for everything?,oh wach katkhals kolchi?,أُه واش كاتخالس كولشي?,أوه، وهل أنت تدفع ثمن كل شيء؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6327,Do you know a good one?,wach kat3raf chi fikra mazyana?,واش كاتعراف شي فيكرا مازيانا?,هل تعرف واحداً جيداً؟,TRUE,EL BOUCHATTAOUI LAMIAA,,واش كاتعراف شي واحد مازيان?,FALSE,Yassine,,,,,
6328,It's not too expensive in general,rah maghalyach bzaf 3adatan,راه ماغالياش بزاف عاداتان,ليس باهظ الثمن بشكل عام,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6329,There's that new Italian place,kayn dak lblasa talyaniya jdida,كاين داك لبلاسا تاليانييا جديدا,هناك ذلك المكان الإيطالي الجديد,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6330,I'm not clear about who's paying,ma3raftch chkon ghadi ykhalas,ماعرافتش شكون غادي يخالاس,لست واضحًا بشأن من سيدفع,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6331,Do you want your guests to pay for their own meal or will you pay for everything?,wach bghiti Doyof dyalk ykhalso maklthom wla ghadi tkhalas nta kolchi?,واش بغيتي ضويوف ديالك يخالسو ماكلتهوم ولا غادي تخالاس نتا كولشي?,هل تريد من ضيوفك أن يدفعوا ثمن وجباتهم بأنفسهم أم ستدفع أنت لكل شيء؟,TRUE,EL BOUCHATTAOUI LAMIAA,,واش بغيتي ضياف ديالك يخالسو ماكلتهوم ولا غادي تخالاس نتا كولشي?,FALSE,Yassine,,,,,
6332,If it's not too expensive,ila makantch ghalya,إلا ماكانتش غاليا,إذا لم يكن غاليًا جدًا,TRUE,EL BOUCHATTAOUI LAMIAA,,إلا ماكانتش غاليا بزاف,FALSE,Yassine,,,,,
6333,But I don't like Italians too much,walakin makanbghich talyaniyin bzaf,والاكين ماكانبغيش تاليانييين بزاف,ولكني لا أحب الإيطاليين كثيرًا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6334,That sounds like a good plan,katban liya khoTa mzyana,كاتبان لييا خوطا مزيانا,ذلك يبدو كخطة جيدة,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6335,So a cheap French place,idan blasa faranciya rkhisa,إدان بلاسا فارانسييا رخيسا,إذًا مكان فرنسي رخيص,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6336,You know an Indonesian restaurant?,wach kat3raf chi maT3am indonisi?,واش كاتعراف شي ماطعام إندونيسي?,هل تعرف مطعمًا إندونيسيًا؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6337,What do you mean by the Thai?,ach kat9sad b Thai?,أش كاتقساد ب طهاي?,ماذا تقصد بالتايلاندي؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6338,We could invite our yoga group and the Glee Club,n9adro n3ayto 3la lmajmo3a dyal yoga dyalna o Glee club,نقادرو نعايتو علا لماجموعا ديال يوڭا ديالنا أُ ڭلي كلوب,يمكننا دعوة مجموعتنا لليوغا ونادي الغناء,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6339,A Thai restaurant,maT3am taylandi,ماطعام تايلاندي,مطعم تايلاندي,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6340,I know a couple of Thai restaurants but they're not cheap,kan3raf chi maTa3im taylandiyin walakin markhasch,كانعراف شي ماطاعيم تايلاندييين والاكين مارخاسش,أعرف بعض المطاعم التايلاندية لكنها ليست رخيصة,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6341,Don't you know anywhere?,wach makat3raf 7ta blasa?,واش ماكاتعراف حتا بلاسا?,ألا تعرف أي مكان؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6342,I think there's one in the old harbor,kandan kayna wa7da f lmarfa2 l9dim,كاندان كاينا واحدا ف لمارفاء لقديم,أعتقد أن هناك واحد في الميناء القديم,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6343,I'll look into it,ghadi nTell 3liha,غادي نطلّ عليها,سأنظر في الأمر,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6344,Yes I'll do that,ah ghadi ndirha,أه غادي نديرها,نعم، سأفعل ذلك,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6345,Can I invite them all?,wach na9dar n3rad 3lihom kamlin?,واش ناقدار نعراد عليهوم كاملين?,هل يمكنني دعوتهم جميعًا؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6346,There's over thirty people in the yoga class,kayn ktar mn tlatin chakhs f faSl yoga,كاين كتار من تلاتين شاخس ف فاصل يوڭا,يوجد أكثر من ثلاثين شخصًا في صف اليوغا,TRUE,EL BOUCHATTAOUI LAMIAA,,كاين كتار من تلاتين واحد ف فاصل يوڭا,FALSE,Yassine,,,,,
6347,"Oh, no!",oh la,أُه لا,يا لا!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6348,Tuesday's band,lfar9a dyal tlat,لفارقا ديال تلات,فرقة الثلاثاء,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6349,"You know, it's only 8 on Tuesday","kif kat3raf, hir 8 safi nhar tlat","كيف كاتعراف, هير 8 سافي نهار تلات",أتعلم، إنها الثامنة فقط يوم الثلاثاء,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6350,The rest of us don't know them so well,lba9iy mnna makay3arfohomch mzyan,لباقيي منّا ماكايعارفوهومش مزيان,بقيةُنا لا يعرفهم جيدًا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6351,I take care of the restaurant and you invite the friends,ana ntkllf blmaT3am o t3ayat 3la S7ab,أنا نتكلّف بلماطعام أُ تعايات علا صحاب,أنا أعتني بالمطعم وأنت تدعو الأصدقاء,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6352,and we'll talk about it tomorrow?,o ghadi nhadro 3lih ghda?,أُ غادي نهادرو عليه غدا?,وسنتحدث عن ذلك غدًا؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6353,Oh them!,oh homa!,أُه هوما!,آه هم!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6354,Glad I asked,far7an 7it sawalt,فارحان حيت ساوالت,سعيد لأنني سألت,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6355,Yes I'll get in touch with them for you,"ah, ghadi natwasal m3ahom 3la 9ablak","أه, غادي ناتواسال معاهوم علا قابلاك",نعم، سأتواصل معهم من أجلك,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6356,You could use my flat,ta9dar tsta3mal cho99a dyali,تاقدار تستاعمال شوقّا ديالي,يمكنك استخدام شقتي,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6357,That's a great idea!,hadi fikra ra2i3a,هادي فيكرا راإعا,هذه فكرة رائعة!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6358,You wouldn't mind?,maghadich tbrzT?,ماغاديش تبرزط?,ألا تمانع؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6359,And Gerard might come along,ya9dar yji 7ta Gerard,ياقدار يجي حتا ڭرارد,وقد يأتي جيرارد أيضًا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6360,You never know,ma3amrak ta3raf,ماعامراك تاعراف,لن تعرف أبدًا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6361,If you know what I mean,ila 3rafti ach bghit na9sad,إلا عرافتي أش بغيت ناقساد,إذا كنت تعرف ما أعني,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6362,"Great, let's do it this way!","3aDim, khlina ndiroha bhad Tari9a","عاضيم, خلينا نديروها بهاد طاريقا",رائع، لنقم بهذه الطريقة!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6363,And we can cook together in the morning!,o n9adro nTaybo lmakla bjoj fsbah,أُ نقادرو نطايبو لماكلا بجوج فسباه,ويمكننا أن نطبخ معًا في الصباح!,TRUE,EL BOUCHATTAOUI LAMIAA,,أُ نقادرو نطايبو لماكلا بجوج فصباح,FALSE,Yassine,,,,,
6364,I can't wait!,ma9adarch ntsana,ماقادارش نتسانا,لا أستطيع الانتظار!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6365,Can I talk to you tomorrow to complete the organization?,wach na9dar nahdar m3ak ghda bach nkamlo tanDim,واش ناقدار ناهدار معاك غدا باش نكاملو تانضيم,هل يمكنني التحدث معك غدًا لإكمال التنظيم؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
